,Date,cruise,PAR
13786,2021-11-27 17:00:00+00:00,TN397_130,1879.1620500000001
13788,2021-11-27 18:00:00+00:00,TN397_130,2215.0656
13790,2021-11-27 19:00:00+00:00,TN397_130,2300.30015
13792,2021-11-27 20:00:00+00:00,TN397_130,2323.3815999999997
13794,2021-11-27 21:00:00+00:00,TN397_130,2279.40635
13796,2021-11-27 22:00:00+00:00,TN397_130,2390.30185
13798,2021-11-27 23:00:00+00:00,TN397_130,2265.3609
13800,2021-11-28 00:00:00+00:00,TN397_130,2069.51005
13802,2021-11-28 01:00:00+00:00,TN397_130,1646.5277999999998
13804,2021-11-28 02:00:00+00:00,TN397_130,397.217
13806,2021-11-28 03:00:00+00:00,TN397_130,0.5659500000000001
13808,2021-11-28 04:00:00+00:00,TN397_130,0.019421052631578947
13810,2021-11-28 05:00:00+00:00,TN397_130,0.0194
13812,2021-11-28 06:00:00+00:00,TN397_130,0.0195
13814,2021-11-28 07:00:00+00:00,TN397_130,0.0223
13816,2021-11-28 08:00:00+00:00,TN397_130,0.0228
13818,2021-11-28 09:00:00+00:00,TN397_130,0.01975
13820,2021-11-28 10:00:00+00:00,TN397_130,0.02165
13822,2021-11-28 11:00:00+00:00,TN397_130,0.02215
13824,2021-11-28 12:00:00+00:00,TN397_130,0.0214
13826,2021-11-28 13:00:00+00:00,TN397_130,0.0193
13828,2021-11-28 14:00:00+00:00,TN397_130,0.0606
13830,2021-11-28 15:00:00+00:00,TN397_130,41.01195
13832,2021-11-28 16:00:00+00:00,TN397_130,233.57869999999997
13834,2021-11-28 17:00:00+00:00,TN397_130,650.04645
13836,2021-11-28 18:00:00+00:00,TN397_130,1058.34625
13838,2021-11-28 19:00:00+00:00,TN397_130,1340.34575
13840,2021-11-28 20:00:00+00:00,TN397_130,1395.0255499999998
13842,2021-11-28 21:00:00+00:00,TN397_130,1637.30215
13844,2021-11-28 22:00:00+00:00,TN397_130,1609.73615
13846,2021-11-28 23:00:00+00:00,TN397_130,763.41965
13848,2021-11-29 00:00:00+00:00,TN397_130,579.68415
13850,2021-11-29 01:00:00+00:00,TN397_130,371.034
13852,2021-11-29 02:00:00+00:00,TN397_130,88.41005
13854,2021-11-29 03:00:00+00:00,TN397_130,0.2485
13856,2021-11-29 04:00:00+00:00,TN397_130,0.02155
13858,2021-11-29 05:00:00+00:00,TN397_130,0.019450000000000002
13860,2021-11-29 06:00:00+00:00,TN397_130,0.0212
13862,2021-11-29 07:00:00+00:00,TN397_130,0.02045
13864,2021-11-29 08:00:00+00:00,TN397_130,0.02405
13866,2021-11-29 09:00:00+00:00,TN397_130,0.020649999999999998
13868,2021-11-29 10:00:00+00:00,TN397_130,0.0222
13870,2021-11-29 11:00:00+00:00,TN397_130,0.02315
13872,2021-11-29 12:00:00+00:00,TN397_130,0.02045
13874,2021-11-29 13:00:00+00:00,TN397_130,0.01735
13876,2021-11-29 14:00:00+00:00,TN397_130,0.02805
13878,2021-11-29 15:00:00+00:00,TN397_130,78.28415
13880,2021-11-29 16:00:00+00:00,TN397_130,471.95349999999996
13882,2021-11-29 17:00:00+00:00,TN397_130,932.5604999999999
13884,2021-11-29 18:00:00+00:00,TN397_130,1305.7938
13886,2021-11-29 19:00:00+00:00,TN397_130,1801.2075
13888,2021-11-29 20:00:00+00:00,TN397_130,1838.0272
13890,2021-11-29 21:00:00+00:00,TN397_130,2769.6492
13892,2021-11-29 22:00:00+00:00,TN397_130,2078.5276
13894,2021-11-29 23:00:00+00:00,TN397_130,1947.49765
13896,2021-11-30 00:00:00+00:00,TN397_130,2167.0731499999997
13898,2021-11-30 01:00:00+00:00,TN397_130,1611.8067
13900,2021-11-30 02:00:00+00:00,TN397_130,311.66365
13902,2021-11-30 03:00:00+00:00,TN397_130,0.966
13904,2021-11-30 04:00:00+00:00,TN397_130,0.01805
13906,2021-11-30 05:00:00+00:00,TN397_130,0.01665
13908,2021-11-30 06:00:00+00:00,TN397_130,0.0188
13910,2021-11-30 07:00:00+00:00,TN397_130,0.0221
13912,2021-11-30 08:00:00+00:00,TN397_130,0.02045
13914,2021-11-30 09:00:00+00:00,TN397_130,0.0211
13916,2021-11-30 10:00:00+00:00,TN397_130,0.023450000000000002
13918,2021-11-30 11:00:00+00:00,TN397_130,0.022350000000000002
13920,2021-11-30 12:00:00+00:00,TN397_130,0.01755
13922,2021-11-30 13:00:00+00:00,TN397_130,0.01805
13924,2021-11-30 14:00:00+00:00,TN397_130,0.0379
13926,2021-11-30 15:00:00+00:00,TN397_130,52.7293
13928,2021-11-30 16:00:00+00:00,TN397_130,470.38595
13930,2021-11-30 17:00:00+00:00,TN397_130,1285.91365
13932,2021-11-30 18:00:00+00:00,TN397_130,1309.2236
13934,2021-11-30 19:00:00+00:00,TN397_130,2395.8299500000003
13936,2021-11-30 20:00:00+00:00,TN397_130,1904.0222
13938,2021-11-30 21:00:00+00:00,TN397_130,2104.28625
13940,2021-11-30 22:00:00+00:00,TN397_130,2276.1311904761906
13942,2021-11-30 23:00:00+00:00,TN397_130,2135.50805
13943,2021-12-01 00:00:00+00:00,TN397_130,1726.5142
13944,2021-12-01 01:00:00+00:00,TN397_130,1075.1717
13946,2021-12-01 02:00:00+00:00,TN397_130,386.62420000000003
13948,2021-12-01 03:00:00+00:00,TN397_130,3.3218000000000005
13950,2021-12-01 04:00:00+00:00,TN397_130,0.02035
13952,2021-12-01 05:00:00+00:00,TN397_130,0.018099999999999998
13954,2021-12-01 06:00:00+00:00,TN397_130,0.02095
13956,2021-12-01 07:00:00+00:00,TN397_130,0.0187
13958,2021-12-01 08:00:00+00:00,TN397_130,0.021249999999999998
13960,2021-12-01 09:00:00+00:00,TN397_130,0.02175
13962,2021-12-01 10:00:00+00:00,TN397_130,0.02295
13964,2021-12-01 11:00:00+00:00,TN397_130,0.01905
13966,2021-12-01 12:00:00+00:00,TN397_130,0.01965
13968,2021-12-01 13:00:00+00:00,TN397_130,0.020550000000000002
13970,2021-12-01 14:00:00+00:00,TN397_130,0.34930000000000005
