cruise,Cruise ID,Project,R2R doi,Location,Year,Month,Day Of Year,Instrument,Ship,Operator,S3,Realtime DB,Discrete samples,Beads,Metadata,Filtration,Gating,Curation,Zenodo,Database size (Gb),References,Comments
HOT319,KM2002,HOT-319,10.7284/908355,Aloha,2020,February,29 - 33,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
HOT320,KM2007,HOT-320,10.7284/908702,Aloha,2020,July,195 - 201,740v2,R/V Kilo Moana,SCOPEOps,,,,,,,,,,,,Couldn't get laser aligned.  Determined to be a dirty lens.
HOT321,KM2009,HOT-321,10.7284/908792,Aloha,2020,August,219 - 224,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,No underway data capture; obtained nav and tsg from R2R but PAR not available
HOT322,KM2010,HOT-322,10.7284/908949,Aloha,2020,August,241 - 250,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Environmental data missing for first half of cruise; cruise also passes Kauai/Niihau
HOT323,KM2011,HOT-323,10.7284/908817,Aloha,2020,September,269 - 274,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
HOT324,KM2013,HOT-324,10.7284/908826,Aloha,2020,November,322 - 327,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
HOT325,KM2014,HOT-325,10.7284/908844,Aloha,2020,December,352 - 356,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Bead position changed. Ops had trouble with pulsing stream at beginning. Laser out of focus for part of cruise.
HOT326,KM2101,HOT-326,10.7284/908872,Aloha,2021,January,11 - 15,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,Beads still in changed position; 740v2 shipped to Seattle after cruise and leaking found above nozzle
HOT328,KM2103,HOT-328,10.7284/909025,Aloha,2021,March,81 - 85,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
HOT329,KM2104,HOT-329,10.7284/909041,Aloha,2021,April,102 - 106,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
HOT330,KM2105,HOT-330,10.7284/909123,Aloha,2021,May,135 - 139,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
HOT331,KM2109,HOT-331,10.7284/909138,Aloha,2021,June,172 - 176,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,PAR not available
HOT332,KM2111,HOT-332,10.7284/909150,Aloha,2021,July,196 - 200,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,PAR not available
SCOPE-PARAGON,KM2112,SCOPE-PARAGON,10.7284/909151,Aloha,2021,July,202 -216,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
RR2106,RR2106,Plume Raiders,10.7284/909271,South East Pacific Rise,2021,September,258 - 307,751v2,R/V Roger Revelle,Vecchione/Monreal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Instrument fell off bench during a swell
TN396_740,TN396,STEMSEAS,10.7284/909454,Seattle - San Diego,2021,November,315 - 320,740v2,R/V Thomas G Thompson,Swalwell,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
TN396_130,TN396,STEMSEAS,10.7284/909454,Seattle - San Diego,2021,November,315 - 320,130,R/V Thomas G Thompson,Cain,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
TN397_130,TN397,Gradients 2021,10.7284/909455,San Diego - Honolulu,2021,November,322 - 349,130,R/V Thomas G Thompson,Cain,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
TN397_740,TN397,Gradients 2021,10.7284/909455,San Diego - Honolulu,2021,November,322 - 349,740v2,R/V Thomas G Thompson,Cain,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
TN398,TN398,UW Senior Cruise,10.7284/909456,Honolulu - San Diego,2021,December,352 - 364,740v2,R/V Thomas G Thompson,Cain,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,
HOT335,KM2204,HOT-335,10.7284/909510,Aloha,2022,March,84 - 89,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Correct time zone confirmed. No nav or TSG data in sfl.  Filled from SAMOS and licor data but last day LAT/LON missing and no conductivity throughout.
HOT336,KM2205,HOT-336,10.7284/909562,Aloha,2022,May,145 - 149,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,"SeaFlow computer set to central time zone at beginning of cruise, affecting first 45 minutes.  These lines were removed from the SFL when low salinity indicated fresh water in the lines.  Salinity may be from the wrong time stamp, but the first 45 minutes were between Honolulu and Station KAHE, and would not be missed. No nav or TSG data in sfl.  Filled from captured underway data and SAMOS.  Some gaps in conductivity and PAR.  "
KM2206_740,KM2206,NCNF (Non-Cyano Nitrogen Fixation),10.7284/909563,10S,2022,June,157 - 186,740v2,R/V Kilo Moana,Cain,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,Huge shifts in syn and pico abundance.
KM2206_130,KM2206,NCNF (Non-Cyano Nitrogen Fixation),10.7284/909563,10S,2022,June,157 - 186,130,R/V Kilo Moana,Cain,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,
HOT337,KM2207,HOT-337,10.7284/909733,Aloha,2022,July,189 - 193,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,No nav or TSG data in sfl.  Filled from captured underway data but there is still missing data from the first hour.  SAMOS data not yet available.
HOT338,KM2211,HOT-338,,Aloha,2022,August,210 - 214,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,No nav or TSG data in sfl.  
SCOPE-PARAGONII,KM2212,SCOPE-PARAGON II,,Aloha,2022,August,216 -230,740v2,R/V Kilo Moana,SCOPEOps,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,No nav or TSG data in sfl; filled in later.  Some hours have high amount of saturated fsc.
TN412_740,TN412,Gradients 2023,,San Diego - Honolulu,2023,January,022 - 049,740v2,R/V Thomas G Thompson,"Cain, Qi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
TN412_130,TN412,Gradients 2023,,San Diego - Honolulu,2023,January,022 - 049,130,R/V Thomas G Thompson,"Cain, Qi",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
TN413,TN413,UW Senior Cruise,,Honolulu - Fiji,2023,February,055 - 071,130,R/V Thomas G Thompson,"Cain, Ribalet",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
TN414,TN414,Transit,,Fiji - New Zealand,2023,March,,130,R/V Thomas G Thompson,Swalwell?,,,,,,,,,,,,
HOT341,KM23??,HOT-341,,Aloha,2023,March,,,R/V Kilo Moana,SCOPEOps,,,,,,,,,,,,
TN416,TN416,Transit,,New Zealand - Taiwan,2023,April,,130,R/V Thomas G Thompson,,,,,,,,,,,,,
HOT342,,HOT-342,,Aloha,2023,May,,,,,,,,,,,,,,,,
TN418,TN418,Transit,,"Guam - Newport, OR",2023,June,,130,R/V Thomas G Thompson,,,,,,,,,,,,,
TN424,TN424,Transit,,Seattle - Honolulu,2023,November,,130,R/V Thomas G Thompson,,,,,,,,,,,,,
